taxa	Rep	Phenols	Tannins	X_3Deoxy	Common_name
PI656036	2	4.466	4.095	11.204	ICSV 1089BF
PI642793	2	3.755	0	58.471	BTx641
PI533964	1	0.157	0	0	"Safara, Kordafan"
PI655990	1	4.102	0	22.52	COMBINE 7078
PI576422	1	2.777	0.827	0	SAP-141
PI656085	2	1.354	0	10.502	SC 1465
PI533833	1	16.122	23.695	40.626	Sorghum Soroti
PI656090	2	4.927	0	73.494	SC 1494
PI533760	1	1.692	0	34.997	Zera Zera White
PI656106	2	11.928	21.618	15.304	SC 695
PI641836	1	17.529	35.314	8.895	ROX ORANGE
PI597951	2	3.544	1.247	32.977	SAP-264
PI595740	1	14.346	23.49	20.68	SAP-133
PI656042	2	2.52	0	37.112	NSA440 - KARPER
PI533976	1	11	11.333	22.509	Framiola DL/59/1539
PI552861	2	3.311	2.182	7.141	A/BTx631
NA	NA	8.942	17.742	0	NA
PI656090	1	5.591	0	30.418	SC 1494
PI533957	2	22.291	45.96	46.1	MN 707 (preconverted)
PI576380	1	0.527	0	16.885	Mashica
PI656111	2	0	0	5.093	SC 971
PI576381	2	0	0	23.724	Mashica
PI597982	2	10.348	14.849	39.068	SAP-175
PI656051	2	2.05	2.406	33.211	MR732
PI533759	2	9.641	18.365	7.203	Mugbash 56/56
PI533996	2	8.053	9.355	2.263	Hamaisi 38
PI656108	2	11.429	0	119.39	SC 833
PI656009	2	0.228	0	33.818	RTAM428
PI656006	2	3.108	4.414	24.733	88V1080
PI533921	2	1.673	0	60.817	"R1,38"
PI329440	2	0.969	0	33.7	Mashila
PI533949	2	7.575	10.963	18.955	Maja Abiad Q2/2/68
PI656120	2	2.359	0	54.397	SC 790
PI597973	1	5.073	0	99.461	SAP-171
PI152651	2	5.435	6.382	9.2	Feterita Geshaish
PI533915	1	0	0	0	No. 755 Muzeba
PI533831	1	2.442	0	57.556	Deburr
PI655973	2	9.262	10.126	17.536	SPUR FETERITA
PI564164	2	2.537	0	30.88	RTX433
PI533903	2	6.995	6.678	20.191	No. 35 Mab
PI533910	2	8.591	16.743	10.038	Klor
PI533814	1	0.549	0	5.769	N.9 Cherukupatcha Jonna
PI656104	2	8.484	7.124	9.5	SC 621
PI656074	2	7.556	9.534	14.108	SC 1218
PI656063	1	3.277	0	43.806	BQL41
PI659695	1	2.487	0	76.894	IS 12623C
PI533755	1	5.674	5.341	19.827	Feterita Gondal
PI533789	1	7.929	15.094	0	Kodilib
PI534112	2	8.49	9.105	23.622	EC 21463 STR 5/1
PI656016	2	2.899	0	11.13	B KS66
PI597980	2	6.334	5.728	15.027	SAP-173
PI533985	1	6.557	12.231	18.957	Barking 119
PI597973	2	6.989	6.574	43.08	SAP-171
PI655973	1	13.52	18.059	69.809	SPUR FETERITA
PI656050	2	7.532	11.995	22.573	Mota Maradi
PI653617	1	12.792	19.067	7.988	KELLER
PI655986	1	3.656	0	45.888	CAPROCK
NA	NA	0.91	0	67.455	NA
PI533759	1	6.295	4.949	23.543	Mugbash 56/56
PI552861	1	3.011	2.496	6.588	A/BTx631
PI655992	2	3.815	4.625	0	TX 3197 (COMB KAFIR 60) B LINE
